% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
51%,STX Entertainment,,NADA,NADA,Month,18/02/2019,13,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,2,33,67,463 / 788,463,Peppa Celebrates Chinese New Year,Peppa Celebrates Chinese New Year,05/02/2019,05/02/2019,67,0K,21,$0.1 Million,2,11,1,0,,131225,1,66913,71910,463,131225,$0.1M,,$0M
7.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),10,14,2,464 / 788,464,Mister America,Mister America,09/10/2019,09/10/2019,125,0K,21,$0.1 Million,10,11,1,0,,130897,1,10090,33836,464,130897,$0.1M,,$0M
61.70%,All Others (101 Total),,NADA,NADA,Month,03/10/2019,13,FIP,FIP,All Others (101 Total),All Others (101 Total),9,15,100,465 / 788,465,The Zoya Factor,The Zoya Factor,20/09/2019,20/09/2019,100,0K,21,$0.1 Million,9,11,1,0,,128831,1,79517,87781,465,128831,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),8,9,-,466 / 788,466,Woodstock,Woodstock,15/08/2019,15/08/2019,781,0K,21,$0.1 Million,8,11,1,0,,126562,1,0,29967,466,126562,$0.1M,,$0M
8.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),6,16,1,467 / 788,467,Paris Is Burning,Paris Is Burning,14/06/2019,14/06/2019,6,0K,21,$0.1 Million,6,11,1,0,,125677,1,10839,30655,467,125677,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,20/08/2019,144,None Listed,-,All Others (101 Total),All Others (101 Total),3,12,-,468 / 788,468,Lost & Found,Lost & Found,29/03/2019,29/03/2019,6,0K,21,$0.1 Million,3,11,1,0,,125173,1,0,94000,468,125173,$0.1M,,$0M
37.40%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,20,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),4,14,62,469 / 788,469,Mary Magdalene,Mary Magdalene,12/04/2019,12/04/2019,62,0K,21,$0.1 Million,4,11,1,0,,124741,1,46646,84287,469,124741,$0.1M,,$0M
60.40%,All Others (101 Total),,NADA,NADA,Month,17/07/2019,3,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,10,252,470 / 788,470,Easy Rider,Easy Rider,14/07/2019,14/07/2019,252,0K,21,$0.1 Million,7,11,1,0,,123276,1,74448,81687,470,123276,$0.1M,,$0M
15.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),11,13,2,471 / 788,471,The Kingmaker,The Kingmaker,08/11/2019,08/11/2019,18,0K,21,$0.1 Million,11,11,1,0,,122587,1,19523,73758,471,122587,$0.1M,,$0M
9.30%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,147,Blue Fox Entertainment,Blue Fox Entertainment,All Others (101 Total),All Others (101 Total),2,14,2,472 / 788,472,A Tuba to Cuba,A Tuba to Cuba,14/02/2019,14/02/2019,16,0K,21,$0.1 Million,2,11,1,0,,121772,1,11270,1692,472,121772,$0.1M,,$0M
23.70%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,55,Entertainment One,Entertainment One,All Others (101 Total),All Others (101 Total),3,19,35,473 / 788,473,Avant qu'on explose,Avant qu'on explose,01/03/2019,01/03/2019,35,0K,21,$0.1 Million,3,11,1,0,,119894,1,28402,12582,473,119894,$0.1M,,$0M
56.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Neon,Neon,All Others (101 Total),All Others (101 Total),12,26,2,474 / 788,474,Portrait of a Lady on Fire,Portrait of a Lady on Fire,06/12/2019,06/12/2019,2,0K,21,$0.1 Million,12,11,1,0,,118603,1,67344,74215,474,118603,$0.1M,,$0M
5.10%,All Others (101 Total),,NADA,NADA,Month,19/05/2019,94,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),2,23,1,475 / 788,475,"Ruben Brandt, Collector","Ruben Brandt, Collector",14/02/2019,14/02/2019,43,0K,21,$0.1 Million,2,11,1,0,,117963,1,6036,94543,475,117963,$0.1M,,$0M
8.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Dada Films,Dada Films,All Others (101 Total),All Others (101 Total),6,31,4,476 / 788,476,The Reports on Sarah and Saleem,The Reports on Sarah and Saleem,12/06/2019,12/06/2019,11,0K,21,$0.1 Million,6,11,1,0,,117479,1,10102,44051,476,117479,$0.1M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,04/01/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,14,375,477 / 788,477,Mob Psycho 100,Mob Psycho 100,04/01/2019,04/01/2019,375,0K,21,$0.1 Million,1,11,1,0,,115766,1,115766,25732,477,115766,$0.1M,,$0M
2.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Zeitgeist Films,Zeitgeist Films,All Others (101 Total),All Others (101 Total),4,48,1,478 / 788,478,Be Natural: The Untold Story of Alice Guy-Blaché,Be Natural: The Untold Story of Alice Guy-Blaché,19/04/2019,19/04/2019,14,0K,21,$0.1 Million,4,11,1,0,,115245,1,3237,78506,478,115245,$0.1M,,$0M
22.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Metrograph Pictures,Metrograph Pictures,All Others (101 Total),All Others (101 Total),10,11,1,479 / 788,479,Downtown 81,Downtown 81,25/10/2019,25/10/2019,8,0K,21,$0.1 Million,10,11,1,0,,113907,1,25208,25103,479,113907,$0.1M,,$0M
22.60%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,84,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),1,12,5,480 / 788,480,Police Story,Police Story,31/01/2019,31/01/2019,7,0K,21,$0.1 Million,1,11,1,0,,113164,1,25591,2097,480,113164,$0.1M,,$0M
19.30%,All Others (101 Total),,NADA,NADA,Month,11/08/2019,156,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),3,7,1,481 / 788,481,Babylon,Babylon,08/03/2019,08/03/2019,9,0K,21,$0.1 Million,3,11,1,0,,109749,1,21214,51957,481,109749,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,03/06/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),6,12,-,482 / 788,482,The Audience,The Audience,03/06/2019,03/06/2019,529,0K,21,$0.1 Million,6,11,1,0,,106529,1,0,31493,482,106529,$0.1M,,$0M
17%,All Others (101 Total),,NADA,NADA,Month,30/05/2019,63,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),3,9,4,483 / 788,483,The Brink,The Brink,28/03/2019,28/03/2019,124,0K,21,$0.1 Million,3,11,1,0,,106057,1,18063,67900,483,106057,$0.1M,,$0M
35.90%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,70,Entertainment One,Entertainment One,All Others (101 Total),All Others (101 Total),1,37,38,484 / 788,484,"Belle and Sebastian, Friends for Life","Belle and Sebastian, Friends for Life",24/01/2019,24/01/2019,38,0K,21,$0.1 Million,1,11,1,0,,105890,1,38017,71672,484,105890,$0.1M,,$0M
17.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),8,22,10,485 / 788,485,Cold Case Hammarskjöld,Cold Case Hammarskjöld,16/08/2019,16/08/2019,15,0K,21,$0.1 Million,8,11,1,0,,104965,1,18285,8899,485,104965,$0.1M,,$0M
15.30%,All Others (101 Total),,NADA,NADA,Month,19/12/2019,85,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),9,29,7,486 / 788,486,Anthropocene: The Human Epoch,Anthropocene: The Human Epoch,25/09/2019,25/09/2019,110,0K,21,$0.1 Million,9,11,1,0,,104806,1,16038,18378,486,104806,$0.1M,,$0M
14.40%,All Others (101 Total),,NADA,NADA,Month,06/06/2019,27,CJ Entertainment,CJ Entertainment,All Others (101 Total),All Others (101 Total),5,16,2,487 / 788,487,Miss & Mrs. Cops,Miss & Mrs. Cops,10/05/2019,10/05/2019,9,0K,21,$0.1 Million,5,11,1,0,,104578,1,15073,28772,487,104578,$0.1M,,$0M
21.80%,All Others (101 Total),,NADA,NADA,Month,19/05/2019,37,Eleven Arts,Eleven Arts,All Others (101 Total),All Others (101 Total),4,15,84,488 / 788,488,Penguin Highway,Penguin Highway,12/04/2019,12/04/2019,168,0K,21,$0.1 Million,4,11,1,0,,104567,1,22833,15965,488,104567,$0.1M,,$0M
42.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),8,15,23,489 / 788,489,The Divine Fury,The Divine Fury,16/08/2019,16/08/2019,23,0K,21,$0.1 Million,8,11,1,0,,102982,1,43863,6047,489,102982,$0.1M,,$0M
10.40%,All Others (101 Total),,NADA,NADA,Month,22/09/2019,128,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),5,16,2,490 / 788,490,Walking on Water,Walking on Water,17/05/2019,17/05/2019,9,0K,21,$0.1 Million,5,11,1,0,,102140,1,10654,68999,490,102140,$0.1M,,$0M
49.80%,All Others (101 Total),,NADA,NADA,Month,30/01/2019,27,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),1,22,17,491 / 788,491,Mojin: The Worm Valley,Mojin: The Worm Valley,03/01/2019,03/01/2019,17,0K,21,$0.1 Million,1,11,1,0,,101516,1,50583,39591,491,101516,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,18,-,492 / 788,492,Wonders of the Sea,Wonders of the Sea,16/01/2019,16/01/2019,266,0K,21,$0.1 Million,1,11,1,0,,100780,1,0,34951,492,100780,$0.1M,,$0M
42.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),9,20,22,493 / 788,493,Tazza: One-Eyed Jack,Tazza: One-Eyed Jack,20/09/2019,20/09/2019,22,0K,21,$0.1 Million,9,11,1,0,,97655,1,41139,50810,493,97655,$0.1M,,$0M
18.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Metrograph Pictures,Metrograph Pictures,All Others (101 Total),All Others (101 Total),6,15,1,494 / 788,494,A Bigger Splash,A Bigger Splash,21/06/2019,21/06/2019,11,0K,21,$0.1 Million,6,11,1,0,,95826,1,18000,37888,494,95826,$0.1M,,$0M
13.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Distrib Films,Distrib Films,All Others (101 Total),All Others (101 Total),7,4,2,495 / 788,495,Rojo,Rojo,12/07/2019,12/07/2019,7,0K,21,$0.1 Million,7,11,1,0,,94757,1,12479,80843,495,94757,$0.1M,,$0M
14.70%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,91,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),1,14,33,496 / 788,496,The Image Book,The Image Book,24/01/2019,24/01/2019,33,0K,21,$0.1 Million,1,11,1,0,,94153,1,13854,31726,496,94153,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,32,-,497 / 788,497,Margaret Atwood: Live in Cinemas,Margaret Atwood: Live in Cinemas,10/09/2019,10/09/2019,499,0K,21,$0.1 Million,9,11,1,0,,93690,1,0,12040,497,93690,$0.1M,,$0M
50.80%,All Others (101 Total),,NADA,NADA,Month,30/05/2019,27,China Lion Film Distribution,China Lion Film Distribution,All Others (101 Total),All Others (101 Total),5,15,14,498 / 788,498,Always Miss You,Always Miss You,03/05/2019,03/05/2019,14,0K,21,$0.1 Million,5,11,1,0,,91884,1,46720,76065,498,91884,$0.1M,,$0M
18.70%,All Others (101 Total),,NADA,NADA,Month,21/04/2019,51,The Samuel Goldwyn Company,The Samuel Goldwyn Company,All Others (101 Total),All Others (101 Total),3,12,3,499 / 788,499,Mapplethorpe,Mapplethorpe,01/03/2019,01/03/2019,19,0K,21,$0.1 Million,3,11,1,0,,91002,1,17000,76970,499,91002,$0.1M,,$0M
44.30%,All Others (101 Total),,NADA,NADA,Month,11/04/2019,27,CMC Pictures,CMC Pictures,All Others (101 Total),All Others (101 Total),3,12,28,500 / 788,500,The Crossing,The Crossing,15/03/2019,15/03/2019,28,0K,21,$0.1 Million,3,11,1,0,,90896,1,40243,50924,500,90896,$0.1M,,$0M
31.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Gravitas Ventures,Gravitas Ventures,All Others (101 Total),All Others (101 Total),6,31,68,501 / 788,501,Loopers: The Caddie's Long Walk,Loopers: The Caddie's Long Walk,07/06/2019,07/06/2019,68,0K,21,$0.1 Million,6,11,1,0,,90679,1,28253,68892,501,90679,$0.1M,,$0M
40.60%,All Others (101 Total),,NADA,NADA,Month,,NA,CMC Pictures Holdings,CMC Pictures Holdings,All Others (101 Total),All Others (101 Total),11,12,29,502 / 788,502,My Dear Liar,My Dear Liar,08/11/2019,08/11/2019,29,0K,21,$0.1 Million,11,11,1,0,,90545,1,36787,33944,502,90545,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,15/07/2019,4,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,57,-,503 / 788,503,Sound! Euphonium the Movie - Our Promise: A Brand New Day,Sound! Euphonium the Movie - Our Promise: A Brand New Day,11/07/2019,11/07/2019,445,0K,21,$0.1 Million,7,11,1,0,,90341,1,0,28931,503,90341,$0.1M,,$0M
6%,All Others (101 Total),,NADA,NADA,Month,27/06/2019,97,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),3,10,2,504 / 788,504,Ramen Shop,Ramen Shop,22/03/2019,22/03/2019,10,0K,21,$0.1 Million,3,11,1,0,,88455,1,5303,2475,504,88455,$0.1M,,$0M
17%,All Others (101 Total),,NADA,NADA,Month,01/09/2019,100,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),5,16,11,505 / 788,505,The Lumber Baron,The Lumber Baron,24/05/2019,24/05/2019,11,0K,21,$0.1 Million,5,11,1,0,,88336,1,15059,81576,505,88336,$0.1M,,$0M
9.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Dada Films,Dada Films,All Others (101 Total),All Others (101 Total),9,25,3,506 / 788,506,Jim Allison: Breakthrough,Jim Allison: Breakthrough,27/09/2019,27/09/2019,10,0K,21,$0.1 Million,9,11,1,0,,87984,1,8679,81615,506,87984,$0.1M,,$0M
55.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Citadel Film Group,Citadel Film Group,All Others (101 Total),All Others (101 Total),8,4,155,507 / 788,507,ECCO,ECCO,09/08/2019,09/08/2019,155,0K,21,$0.1 Million,8,11,1,0,,86858,1,48205,85728,507,86858,$0.1M,,$0M
69.30%,All Others (101 Total),,NADA,NADA,Month,14/03/2019,13,None Listed,-,All Others (101 Total),All Others (101 Total),3,10,70,508 / 788,508,Sonchiriya,Sonchiriya,01/03/2019,01/03/2019,70,0K,21,$0.1 Million,3,11,1,0,,86765,1,60170,74234,508,86765,$0.1M,,$0M
6.40%,All Others (101 Total),,NADA,NADA,Month,21/11/2019,146,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),6,15,1,509 / 788,509,The Chambermaid,The Chambermaid,28/06/2019,28/06/2019,5,0K,21,$0.1 Million,6,11,1,0,,86422,1,5490,89763,509,86422,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,18,-,510 / 788,510,Cyrano de Bergerac,Cyrano de Bergerac,22/01/2019,22/01/2019,301,0K,21,$0.1 Million,1,11,1,0,,86300,1,0,16536,510,86300,$0.1M,,$0M
55.60%,All Others (101 Total),,NADA,NADA,Month,13/06/2019,13,China Lion Film Distribution,China Lion Film Distribution,All Others (101 Total),All Others (101 Total),5,11,8,511 / 788,511,Mayday Life,Mayday Life,31/05/2019,31/05/2019,11,0K,21,$0.1 Million,5,11,1,0,,85912,1,47769,79328,511,85912,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,17,438,512 / 788,512,Skid Row Marathon,Skid Row Marathon,14/10/2019,14/10/2019,438,0K,21,$0.1 Million,10,11,1,0,,84997,1,84997,52439,512,84997,$0.1M,,$0M
3.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),5,14,1,513 / 788,513,The Third Wife,The Third Wife,15/05/2019,15/05/2019,8,0K,21,$0.1 Million,5,11,1,0,,84933,1,3339,86662,513,84933,$0.1M,,$0M
8.60%,All Others (101 Total),,NADA,NADA,Month,15/08/2019,69,Blue Fox Entertainment,Blue Fox Entertainment,All Others (101 Total),All Others (101 Total),6,10,2,514 / 788,514,Papi Chulo,Papi Chulo,07/06/2019,07/06/2019,16,0K,21,$0.1 Million,6,11,1,0,,84703,1,7257,15705,514,84703,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,07/07/2019,44,PBS Distribution,PBS Distribution,All Others (101 Total),All Others (101 Total),5,9,2,515 / 788,515,Woodstock,Woodstock,24/05/2019,24/05/2019,11,0K,21,$0.1 Million,5,11,1,0,,84440,1,8150,71063,515,84440,$0.1M,,$0M
43.40%,All Others (101 Total),,NADA,NADA,Month,04/08/2019,16,China Lion Film Distribution,China Lion Film Distribution,All Others (101 Total),All Others (101 Total),7,10,13,516 / 788,516,Looking Up,Looking Up,19/07/2019,19/07/2019,13,0K,21,$0.1 Million,7,11,1,0,,84267,1,36541,64722,516,84267,$0.1M,,$0M
65.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Atlas Distribution Company,Atlas Distribution Company,All Others (101 Total),All Others (101 Total),10,22,106,517 / 788,517,High Strung Free Dance,High Strung Free Dance,11/10/2019,11/10/2019,106,0K,21,$0.1 Million,10,11,1,0,,83891,1,54601,82910,517,83891,$0.1M,,$0M
19.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),9,10,1,518 / 788,518,Ms. Purple,Ms. Purple,06/09/2019,06/09/2019,23,0K,21,$0.1 Million,9,11,1,0,,80657,1,15734,61200,518,80657,$0.1M,,$0M
49.80%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,34,Blue Fox Entertainment,Blue Fox Entertainment,All Others (101 Total),All Others (101 Total),3,10,55,519 / 788,519,Saint Judy,Saint Judy,01/03/2019,01/03/2019,55,0K,21,$0.1 Million,3,11,1,0,,78935,1,39275,79264,519,78935,$0.1M,,$0M
11.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Rialto Pictures,Rialto Pictures,All Others (101 Total),All Others (101 Total),4,23,1,520 / 788,520,Christ Stopped at Eboli,Christ Stopped at Eboli,03/04/2019,03/04/2019,3,0K,21,$0.1 Million,4,11,1,0,,78736,1,9006,10685,520,78736,$0.1M,,$0M
14.40%,All Others (101 Total),,NADA,NADA,Month,06/06/2019,142,Distrib Films,Distrib Films,All Others (101 Total),All Others (101 Total),1,13,2,521 / 788,521,The Heiresses,The Heiresses,15/01/2019,15/01/2019,6,0K,21,$0.1 Million,1,11,1,0,,78473,1,11304,2505,521,78473,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),4,5,-,522 / 788,522,Ploey,Ploey,26/04/2019,26/04/2019,20,0K,21,$0.1 Million,4,11,1,0,,77815,1,0,47888,522,77815,$0.1M,,$0M
9.40%,All Others (101 Total),,NADA,NADA,Month,08/11/2019,112,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),7,14,1,523 / 788,523,A Faithful Man,A Faithful Man,19/07/2019,19/07/2019,6,0K,21,$0.1 Million,7,11,1,0,,77491,1,7321,3906,523,77491,$0.1M,,$0M
48.90%,Lionsgate,,NADA,NADA,Month,16/05/2019,27,Lionsgate,Lionsgate,Lionsgate,Lionsgate,4,10,25,524 / 788,524,Fast Color,Fast Color,19/04/2019,19/04/2019,25,0K,21,$0.1 Million,4,11,1,0,,76916,1,37594,71610,524,76916,$0.1M,,$0M
7.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),3,13,12,525 / 788,525,Triple Threat,Triple Threat,19/03/2019,19/03/2019,12,0K,21,$0.1 Million,3,11,1,0,,76289,1,5936,56784,525,76289,$0.1M,,$0M
49.10%,All Others (101 Total),,NADA,NADA,Month,23/05/2019,20,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),5,6,19,526 / 788,526,Savage,Savage,03/05/2019,03/05/2019,19,0K,21,$0.1 Million,5,11,1,0,,74491,1,36590,42536,526,74491,$0.1M,,$0M
52.50%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,27,None Listed,-,All Others (101 Total),All Others (101 Total),6,2,128,527 / 788,527,5B,5B,14/06/2019,14/06/2019,128,0K,21,$0.1 Million,6,11,1,0,,72968,1,38314,24488,527,72968,$0.1M,,$0M
22.60%,All Others (101 Total),,NADA,NADA,Month,18/04/2019,48,Round Hill Media,Round Hill Media,All Others (101 Total),All Others (101 Total),3,17,6,528 / 788,528,Cliffs of Freedom,Cliffs of Freedom,01/03/2019,01/03/2019,10,0K,21,$0.1 Million,3,11,1,0,,72476,1,16350,58154,528,72476,$0.1M,,$0M
9.80%,All Others (101 Total),,NADA,NADA,Month,04/07/2019,118,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),3,7,1,529 / 788,529,3 Faces,3 Faces,08/03/2019,08/03/2019,7,0K,21,$0.1 Million,3,11,1,0,,72324,1,7065,19432,529,72324,$0.1M,,$0M
65%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,20,Good Deed Entertainment,Good Deed Entertainment,All Others (101 Total),All Others (101 Total),4,9,56,530 / 788,530,Storm Boy,Storm Boy,05/04/2019,05/04/2019,56,0K,21,$0.1 Million,4,11,1,0,,71760,1,46676,60641,530,71760,$0.1M,,$0M
5.70%,All Others (101 Total),,NADA,NADA,Month,12/06/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),6,18,-,531 / 788,531,Free Trip to Egypt,Free Trip to Egypt,12/06/2019,12/06/2019,447,0K,21,$0.1 Million,6,11,1,0,,71087,1,4081,17904,531,71087,$0.1M,,$0M
12.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),10,22,2,532 / 788,532,The Battle of Jangsari,The Battle of Jangsari,04/10/2019,04/10/2019,20,0K,21,$0.1 Million,10,11,1,0,,70853,1,8552,5029,532,70853,$0.1M,,$0M
4.80%,All Others (101 Total),,NADA,NADA,Month,13/06/2019,107,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),2,4,1,533 / 788,533,Styx,Styx,26/02/2019,26/02/2019,17,0K,21,$0.1 Million,2,11,1,0,,70794,1,3420,82997,533,70794,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,06/05/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,14,-,534 / 788,534,Batman Returns,Batman Returns,06/05/2019,06/05/2019,507,0K,21,$0.1 Million,5,11,1,0,,70642,1,0,99470,534,70642,$0.1M,,$0M
12.50%,All Others (101 Total),,NADA,NADA,Month,26/12/2019,111,Music Box Films,Music Box Films,All Others (101 Total),All Others (101 Total),9,4,7,535 / 788,535,Edie,Edie,06/09/2019,06/09/2019,11,0K,21,$0.1 Million,9,11,1,0,,70138,1,8801,96985,535,70138,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,05/09/2019,104,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),5,10,1,536 / 788,536,Diamantino,Diamantino,24/05/2019,24/05/2019,5,0K,21,$0.1 Million,5,11,1,0,,70088,1,6412,95255,536,70088,$0.1M,,$0M
67.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Eros International,Eros International,All Others (101 Total),All Others (101 Total),12,8,78,537 / 788,537,The Body,The Body,13/12/2019,13/12/2019,78,0K,21,$0.1 Million,12,11,1,0,,68196,1,45996,55602,537,68196,$0.1M,,$0M
